"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","16","4446","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","16","6","6","1","10.886539","0","6"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","16","3","1","1","6.372078","0","8"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","16","3","1","1","6.506533","0","8"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","16","17","1","1","37.360073","0","168"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","16","4","2","1","8.180522","0","11"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","16","6","6","1","11.084009","0","11"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","16","5","1","1","9.868202","0","19"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","16","4","1","1","6.660762","0","13"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","16","26","1","1","62.917484","0","378"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","16","7","1","1","13.613749","0","34"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","16","10","1","1","23.624205","0","64"
"/Engine/VREditor/TransformGizmo/Xray.Xray","16","14","1","1","35.166786","0","118"
"/Engine/VREditor/TransformGizmo/Main.Main","16","3","1","1","8.549526","0","8"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","16","3","1","1","6.535798","0","8"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","16","3","1","1","4.993742","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","16","26","1","1","57.803165","0","376"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","16","35","1","1","65.628403","0","335"
"/Game/StarterContent/FirstPerson/FPWeapon/Materials/BaseMaterial.BaseMaterial","16","35","1","1","85.810555","0","231"
